Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto|Total<P>,"2013|Producto interno bruto|Remuneraciones<C1,P>",2013|Producto interno bruto|Excedente bruto de operación<P>,2013|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto|Total<P>,"2018|Producto interno bruto|Remuneraciones<C1,P>",2018|Producto interno bruto|Excedente bruto de operación<P>,2018|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>
Millones de pesos a precios corrientes|Total,312848.645,106248.344,206600.3,44521.868,162142.585,-64.153,525218.671,170512.857,354705.814,82976.807,271844.837,-115.83
"Millones de pesos a precios corrientes|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",225401.167,70574.231,154826.935,36666.999,118337.731,-177.794,404945.575,133338.459,271607.115,72283.094,199578.346,-254.325
Millones de pesos a precios corrientes|Industrias manufactureras,22592.522,16144.59,6447.932,1665.906,4758.744,23.282,25102.247,15312.863,9789.384,1565.847,8165.307,58.23
Millones de pesos a precios corrientes|Comercio al por mayor,9586.376,5719.373,3867.003,554.726,3287.363,24.914,6682.514,2507.689,4174.824,760.673,3396.327,17.824
Millones de pesos a precios corrientes|Comercio al por menor,889.275,229.71,659.566,220.737,436.462,2.367,1588.817,467.578,1121.239,321.462,793.317,6.46
"Millones de pesos a precios corrientes|Transportes, correos y almacenamiento",7927.772,5034.688,2893.084,1227.345,1625.493,40.246,12234.713,7059.154,5175.559,1955.303,3201.085,19.171
Millones de pesos a precios corrientes|Servicios financieros y de seguros,40878.045,6238.028,34640.017,2195.616,32444.381,NS,66484.167,8270.251,58213.916,3828.399,54385.517,0
"Millones de pesos a precios corrientes|Servicios profesionales, científicos y técnicos",518.86,86.156,432.703,362.813,65.781,4.109,842.009,337.052,504.957,181.626,322.514,0.817
"Millones de pesos a precios corrientes|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",1122.166,370.691,751.474,582.901,165.039,3.534,1242.656,452.968,789.688,365.381,402.716,21.591
"Millones de pesos a precios corrientes|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",1468.026,621.816,846.21,493.111,346.084,7.015,1956.713,964.215,992.498,843.312,165.796,-16.61
Millones de pesos a precios corrientes|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,516.473,263.03,253.443,89.361,163.388,0.694,521.324,242.562,278.762,126.379,151.233,1.15
Millones de pesos a precios corrientes|Otros<C2>,1947.964,966.031,981.933,462.353,512.119,7.46,3617.937,1560.065,2057.872,745.331,1282.679,29.862
Participación porcentual|Total,100.00000000000001,100.00000000000001,100,100.00000000000001,100.00000000000003,NA,100,100,99.99999999999999,100.00000000000001,99.99999999999999,NA
"Participación porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",72.047992051375,66.42384096699612,74.94032444257887,82.35727803489932,72.98374484047456,NA,77.10037691638988,78.19847840563521,76.57250166237613,87.11240741190767,73.41627239777179,NA
Participación porcentual|Industrias manufactureras,7.221550222609998,15.195144691924526,3.1209694928394227,3.7417702086127513,2.9349133289376392,NA,4.7793896041337165,8.980473881366228,2.7598600326900478,1.8870899620776809,3.00366455413155,NA
