Descriptores,2013|Valor bruto de la producción<P>,2013|Consumo intermedio<P>,2013|Producto interno bruto|Total<P>,"2013|Producto interno bruto|Remuneraciones<C1,P>",2013|Producto interno bruto|Excedente bruto de operación<P>,2013|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>,2018|Valor bruto de la producción<P>,2018|Consumo intermedio<P>,2018|Producto interno bruto|Total<P>,"2018|Producto interno bruto|Remuneraciones<C1,P>",2018|Producto interno bruto|Excedente bruto de operación<P>,2018|Producto interno bruto|Impuestos netos de subsidios sobre la producción<P>
Participación porcentual|Comercio al por mayor,3.0642217251415342,5.383022869656394,1.8717317727167286,1.2459629899543654,2.027452232415395,NA,1.2723298125720213,1.4706746657665266,1.176982214205385,0.9167296566800688,1.2493624628452893,NA
Participación porcentual|Comercio al por menor,0.28425093589838263,0.21620057010034943,0.31924720009505464,0.49579455895984104,0.2691838628468545,NA,0.30250578174007736,0.27421846850912324,0.3161039534968777,0.38741186935212407,0.29182717311961004,NA
"Participación porcentual|Transportes, correos y almacenamiento",2.5340598794096088,4.7386041610043135,1.4003288082067504,2.756723942821394,1.0025080834505484,NA,2.3294512689289806,4.139954169117581,1.4591130645918697,2.3564452108797194,1.177541172280208,NA
Participación porcentual|Servicios financieros y de seguros,13.066396705152137,5.87117655818144,16.76668284268647,4.931545080186694,20.009784019985023,NA,12.65837849945956,4.850221434900016,16.41188665348845,4.613817988203992,20.006088031115425,NA
"Participación porcentual|Servicios profesionales, científicos y técnicos",0.16585000728965596,0.08108941044454993,0.20943984263988208,0.8149096495825203,0.040570059921260664,NA,0.16031589255768802,0.197669831299601,0.1423592463870753,0.21888767002926907,0.11863882647239778,NA
"Participación porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",0.3586928117153124,0.3488913624415434,0.3637334034046081,1.3092464979240013,0.10178652556328363,NA,0.23659783420624525,0.265650417811552,0.22263178452813517,0.4403411172572448,0.1481418183243512,NA
"Participación porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.4692447718147365,0.585247803087941,0.4095878885277227,1.1075703246997384,0.21344411613630254,NA,0.37255206425849535,0.5654795451700221,0.2798086848989105,1.016322546263877,0.060989083352548754,NA
Participación porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,0.16508703770656077,0.24756146717657118,0.122672909738924,0.20071260179856734,0.10076785178470918,NA,0.09925843785960539,0.1422541460075788,0.07858970133352117,0.15230641455864796,0.055632191464995706,NA
Participación porcentual|Otros<C2>,0.6226538518870653,0.9092201389862449,0.4752813965655676,1.0384861105608079,0.3158450784844463,NA,0.6888438878937244,0.9149250344165512,0.5801630020035919,0.8982401527897169,0.4718422891218232,NA
Distribución porcentual|Total,100,33.96158049852786,66.03841950147215,14.231120684399013,51.82780492254301,-0.020506105469874844,99.99999999999999,32.46511711819966,67.53488288180033,15.798525801863313,51.75841068331288,-0.022053603375875707
"Distribución porcentual|Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",100,31.310499540548953,68.68950045945105,16.26743965491108,52.50093975431729,-0.07887894977729273,99.99999999999997,32.92750128390457,67.07249871609541,17.85007637059802,49.28522699341126,-0.06280464791386792
Distribución porcentual|Industrias manufactureras,99.99999999999997,71.45988239836169,28.540117601638293,7.373705336194641,21.063360468020942,0.10305179742271392,100.00000000000001,61.001960602526076,38.99803939747394,6.237875947701752,32.528192180270956,0.23197126950121752
Distribución porcentual|Comercio al por mayor,100.00000000000003,59.66146738444913,40.338532615550896,5.786607911839737,34.29203504734824,0.2598896563629165,100,37.526138895041214,62.473861104958786,11.383036844130809,50.82409828434427,0.26672597648370266
Distribución porcentual|Comercio al por menor,100.00000000000001,25.83109547936729,74.16890452063272,24.822124792399062,49.08060790663778,0.2661718215958746,99.99999999999997,29.42930427614561,70.57069572385436,20.232791514598528,49.931312347124994,0.4065918621308475
"Distribución porcentual|Transportes, correos y almacenamiento",100.00000000000006,63.50697865202027,36.493021347979784,15.481588040849195,20.503774912553663,0.5076583945769255,99.99999999999993,57.69775000538072,42.30224999461921,15.981600886580077,26.16395560805649,0.15669349998267615
Distribución porcentual|Servicios financieros y de seguros,99.99999999999997,15.260093490283106,84.73990650971686,5.371137489574171,79.36872009412387,NS,100,12.439429500386181,87.56057049961382,5.758361747111125,81.8022087525027,0
"Distribución porcentual|Servicios profesionales, científicos y técnicos",100,16.604910577911745,83.39508942208825,69.92509532927507,12.678064871125999,0.7919292216871812,100,40.02955740378072,59.97044259621928,21.57055328387226,38.30285947062323,0.09702984172378204
"Distribución porcentual|Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",100,33.03356438657539,66.96643561342461,51.94429413983105,14.707214692733405,0.31492678086015113,100,36.45160977776634,63.54839022223365,29.403229856050267,32.40767227615687,1.737488090026524
"Distribución porcentual|Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",100,42.3572974490272,57.6427025509728,33.59007474138464,23.574775207819357,0.47785260176879707,100,49.277299532430156,50.72270046756984,43.09840022527575,8.473172815839625,-0.8488725735455328
Distribución porcentual|Servicios de alojamiento temporal y de preparación de alimentos y bebidas,100,50.92815773213585,49.07184226786414,17.302177680068812,31.635291524490665,0.13437306330466034,100,46.52800920781971,53.47199079218029,24.241937230540813,29.009461312807616,0.22059224883186238
Distribución porcentual|Otros<C2>,100,49.5918444051715,50.40815559482851,23.735211986038625,26.289979679441895,0.38296392934798956,100.00000000000001,43.120290270019524,56.87970972998049,20.600996074029723,35.45332608349949,0.8253875724512675
